Query Number,SQL Query
Query 28,"SELECT 
TBL_REVENUE_PERIOD_RATE.PERIOD,
TBL_REVENUE_PERIOD_RATE.RATE,
TBL_REVENUE_PERIOD_RATE.TYPE
FROM
TBL_REVENUE_PERIOD_RATE
JOIN max_period ON max_period.PERIOD = TBL_REVENUE_PERIOD_RATE.PERIOD
AND max_period.TYPE = TBL_REVENUE_PERIOD_RATE.TYPE
WHERE
TBL_REVENUE_PERIOD_RATE.TYPE =: typePeriodRate;"
Query 29,"SELECT CONTRACT_AMT FROM TBL_BI_CONTRACT_REF_DEFINE WHERE CONTRACT_ID = :contractId
Sau khi xử lý ta lấy được dữ liệu sau :"
Query 30,"UPDATE TBL_PERIOD_EVALUATION
SET auto_evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
'NOT_FOLLOW' ELSE 'FOLLOW'
END,
evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
'NOT_FOLLOW' ELSE evaluation_result
END;"
Query 31,"UPDATE TBL_PERIOD_EVALUATION
SET auto_evaluation_result =
:autoEvaluationResult,
evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
:autoEvaluationResult  ELSE evaluation_result
END;"
Query 32,"UPDATE tbl_revenue_condition
SET auto_evaluation_result =
: autoEvaluationResult;"
Query 33,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
LEFT JOIN TBL_CONTRACT_CONDITION cc ON cc.id = pe.CONTRACT_CONDITION_ID
LEFT JOIN TBL_LOAN_PRODUCT_CONDITION lc ON lc.id = pe.CONTRACT_CONDITION_ID
WHERE
pe.EVALUATION_DATE IS NOT NULL
AND ( pe.AUTO_EVALUATION_RESULT IS NULL OR ( pe.AUTO_EVALUATION_RESULT = 'FOLLOW' AND pe.GROUP_CONTRACT_CONDITION = 'SECUR_PROP_INSURANCE' ) )
AND pe.EVALUATION_RESULT IS NULL
AND pe.GROUP_CONTRACT_CONDITION NOT IN ( 'CROSS_SELLING', 'CREDIT_RELATION', 'REVENUE' ) ( pe.STATUS IS NULL OR pe.STATUS <> 'APPROVED' )
AND (
pe.CONTRACT_CONDITION_ID IS NULL
OR ( pe.GROUP_CONTRACT_CONDITION <> 'LOAN_PRODUCT_CONDITION' AND cc.STATUS = 'APPROVED' )
OR ( pe.GROUP_CONTRACT_CONDITION = 'LOAN_PRODUCT_CONDITION' AND lc.STATUS = 'ACTIVE' )
)
AND (
( pe.REGISTER_DATE IS NOT NULL AND TRUNC( pe.REGISTER_DATE ) < TRUNC( SYSDATE ) )
OR ( pe.REGISTER_DATE IS NULL AND TRUNC( pe.EVALUATION_DATE ) < TRUNC( SYSDATE ) )
);"
Query 34,"UPDATE TBL_PERIOD_EVALUATION
SET AUTO_EVALUATION_RESULT = 'NOT_FOLLOW',
EVALUATION_RESULT= 'NOT_FOLLOW',
report_note =
CASE
WHEN 'STOP_CHECK_REPORT' = report_batch_id THEN
report_note ELSE NULL
END,
report_batch_id =
CASE
WHEN report_batch_id IS NOT NULL
AND 'STOP_CHECK_REPORT' <> report_batch_id THEN
'RE_CHECK'
WHEN 'STOP_CHECK_REPORT' = report_batch_id THEN
report_batch_id ELSE NULL END;"
Query 35,"UPDATE TBL_PERIOD_EVALUATION
SET AUTO_EVALUATION_RESULT = 'NOT_FOLLOW',
EVALUATION_RESULT= 'NOT_FOLLOW';"
Query 36,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION pe
JOIN TBL_CONTRACT_CONDITION cc ON cc.id = pe.CONTRACT_CONDITION_ID
WHERE
pe.EVALUATION_DATE IS NOT NULL
AND pe.AUTO_EVALUATION_RESULT IS NULL OR pe.AUTO_EVALUATION_RESULT = 'NOT_ENOUGH_EVALUATION_DATA'
AND pe.GROUP_CONTRACT_CONDITION = 'CROSS_SELLING'
AND ( pe.STATUS IS NULL OR.STATUS = 'APPROVED' )
AND (
( pe.REGISTER_DATE IS NOT NULL AND TRUNC( pe.REGISTER_DATE ) < TRUNC( SYSDATE ) )
OR ( pe.REGISTER_DATE IS NULL AND TRUNC( pe.EVALUATION_DATE ) < TRUNC( SYSDATE ) )
);"
Query 37,SELECT * FROM TBL_CROSS_SELLING WHERE CONDITION_ID = :conditionId;
Query 38,UPDATE TBL_PERIOD_EVALUATION SET AUTO_EVALUATION_RESULT = 'NOT_ENOUGH_EVALUATION_DATA' WHERE id = :id;
Query 39,"UPDATE TBL_PERIOD_EVALUATION
SET auto_evaluation_result =
:autoEvaluationResult,
evaluation_result =
CASE
WHEN evaluation_result IS NULL THEN
:autoEvaluationResult  ELSE evaluation_result
END;"
Query 40,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
PERIOD <> 0
AND GROUP_CONTRACT_CONDITION NOT IN ( 'REVALUE_COLLATERAL', 'SECUR_PROP_INSURANCE' )
AND ( CONTRACT_STATUS IS NULL OR CONTRACT_STATUS NOT IN ( 'OVERDUE_1', 'OVERDUE_2' ) )
AND ( CONTRACT_CONDITION_STATUS IS NULL OR CONTRACT_CONDITION_STATUS <> 'STOP_FOLLOW' )
AND LOCKED_KEY IS NULL
AND CREATE_NEXT_PERIOD_STATUS IN ( 'NEW', 'RENEW' )
AND ( FORCE_CREATE_NEXT = 1 OR CAST( EVALUATION_DATE AS DATE ) < CAST( SYSDATE ) );"
Query 41,"UPDATE bản ghi hiện tại : Không thực hiện sinh kỳ mới
+ Nếu FREQUENCY <> 0 AND EVALUATION_RESULT = FOLLOW  thực hiện insert thêm 1 bản ghi kỳ mới theo quy tắc"
Query 42,
Query 43,"UPDATE bản ghi hiện tại : Không thực hiện sinh kỳ mới
+ Nếu FREQUENCY <> 0 thực hiện insert thêm 1 bản ghi kỳ mới theo quy tắc"
Query 44,"SELECT * FROM TBL_PERIODIC_TEST_FREQUENCY WHERE CUSTOMER_TYPE = NVL(SUBSTR(PERIODIC_TYPE, 0, INSTR(PERIODIC_TYPE, '#')-1), PERIODIC_TYPE)= CUSTOMER_TYPE;"
Query 45,"SELECT * FROM TBL_LOAN_PRODUCT_CONDITION WHERE CODE = LOAN_PRODUCT_CODE ( LOAN_PRODUCT_CODE lấy từ dữ liệu gốc)
+ Nếu  AUTO_PERIOD = 1 OR BUSINESS_UNIT_NOTE = 1 OR  loanCondition IS NULL  update lại bản ghi gốc với dữ liệu sau :
SET CREATE_NEXT_PERIOD_STATUS = RENEW"
Query 46,"UPDATE lại bản ghi gốc với dữ liệu sau :
SET CREATE_NEXT_PERIOD_STATUS = SUCCESS."
Query 47,
Query 48,"UPDATE lại bản ghi gốc với dữ liệu sau :
SET CREATE_NEXT_PERIOD_STATUS = SUCCESS."
Query 49,"UPDATE TBL_PERIOD_EVALUATION
SET STATUS = 'STOP_FOLLOW',
REPORT_NOTE = 'Ngừng theo dõi TSBD'
WHERE
GROUP_CONTRACT_CONDITION IN ( 'REVALUE_COLLATERAL', 'SECUR_PROP_INSURANCE' )
SELECT DISTINCT COLLATERAL_ID FROM TBL_BI_COLLATERAL WHERE STATE = 'STOP_FOLLOW' );"
Query 50,"SELECT 
*
FROM
TBL_BI_COLLATERAL
WHERE
WHERE
TBL_BI_COLLATERAL.STATE = 'CHANGE'
AND TBL_BI_COLLATERAL.PERIOD_STATUS IN ( 'NEW', 'RENEW' )
AND TBL_BI_COLLATERAL.DATA_STATUS = 'ACTIVE'
AND TBL_BI_COLLATERAL.PERIOD_CONDITION = 'ENOUGH';"
Query 51,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
TBL_BI_COLLATERAL.COLLATERAL_ID = TBL_PERIOD_EVALUATION.COLLATERAL_ID
AND TBL_PERIOD_EVALUATION.GROUP_CONTRACT_CONDITION IN ( 'REVALUE_COLLATERAL', 'SECUR_PROP_INSURANCE' );"
Query 52,"SELECT * FROM tbl_val_collateral_frequency WHERE collateral_type = 	TBL_BI_COLLATERAL.COLL_TYPE
B3 : Lấy điều kiện nghị quyết"
Query 53,"SELECT 
*
FROM
tbl_contract_condition
WHERE
GROUP_CONTRACT_CONDITION = 'REVALUE_COLLATERAL'
AND (STATUS IS NULL OR STATUS <>'STOP_FOLLOW';"
Query 54,UPDATE TBL_BI_COLLATERAL SET period_status = 'SUCCESS' AND state = 'NOT_CHANGE' AND UPDATE d_user = 'SYSTEM_USER' AND UPDATE _date = SYSDATE;
Query 55,"SELECT 
*
FROM
STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
WHERE
DATA_STATUS = 'ACTIVE'
AND (
STATUS IS NULL
OR STATUS NOT IN ( 'OVERDUE_1', 'OVERDUE_2' )
AND CPS_DKSPV = 'N'
AND CREATE_PERIOD_STATUS IN ( 'NEW', 'RENEW' );"
Query 56,"SELECT 
*
FROM
TBL_LOAN_PRODUCT_CONDITION
WHERE
PRODUCT_TYPE = contract.LOAN_PRODUCT_ID
AND STATUS = 'ACTIVE';"
Query 57,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
CONTRACT_ID = contract.REF_ID
AND LOAN_PRODUCT_CODE = loanCondition.CODE;"
Query 58,"UPDATE dữ liệu bảng hợp đồng vay :
UPDATE STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
SET CPS_DKSPV = 'Y'
AND CREATE_PERIOD_STATUS = 'RENEW'
AND UPDATED_DATE = SYSDATE
AND UPDATED_USER = 'SYSTEM_USER';"
Query 59,"UPDATE dữ liệu bảng hợp đồng vay :
UPDATE STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
SET CPS_DKSPV = 'Y'
AND CREATE_PERIOD_STATUS = 'RENEW'
AND UPDATED_DATE = SYSDATE
AND UPDATED_USER = 'SYSTEM_USER';"
Query 60,"SELECT 
*
FROM
STG_SEAOPS.TBL_BI_DISBURSEMENT_HISTORY
JOIN STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE ON STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE.REF_ID = STG_SEAOPS.TBL_BI_DISBURSEMENT_HISTORY.CONTRACT_REF
WHERE
DATA_STATUS = 'ACTIVE'
and CREATE_PERIOD_STATUS in ('NEW', 'RENEW')"
Query 61,"SELECT 
DH.CONTRACT_REF ref_id, DH.LOAN_CODE loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, DH.VALUE_DATE value_date, DH.PRODUCT_CODE 	product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_DISBURSEMENT_HISTORY DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_PERIOD_STATUS in (‘NEW’,’RENEW’)
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_md loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.past_sched_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_GUARANTEE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE CRD
ON CRD.REF_ID = DH.CONTRACT_REF
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_PERIOD_STATUS in (‘NEW’,’RENEW’)
UNION ALL
SELECT 
DH.CONTRACT_REF ref_id, dh.contract_id loan_code, CRD.VALUE_DATE_MIN value_date_min_ref, dh.issue_date value_date, DH.PRODUCT_CODE      product_code, DH. MATURITY_DATE maturity_date
FROM
TBL_BI_LC_RELEASE_SALES DH
JOIN TBL_BI_CONTRACT_REF_DEFINE_BIPLUS CRD
ON CRD.REF_ID = DH.CONTRACT_REF
WHERE
DH.DATA_STATUS = 'ACTIVE'
and DH.CREATE_PERIOD_STATUS in (‘NEW’,’RENEW’);"
Query 62,"SELECT 
*
FROM
TBL_CONTRACT_CONDITION
WHERE
(GROUP_CONDITION_TYPE is null or  GROUP_CONDITION_TYPE = DKNQ)
AND  GROUP_CONTRACT_CONDITION = 'MDSDV'
AND STATUS = 'APPROVED'
AND CONTRACT_ID = : contract_id
Dữ liệu điều kiện sản phẩm MDSDV đã duyệt tương ứng với hợp đồng:
SELECT 
*
FROM
TBL_CONTRACT_CONDITION
WHERE
(GROUP_CONDITION_TYPE = DKSP)
AND LOAN_PRODUCT_ID = :product_code – product_code từ khoản giải ngân lấy từ 3 bảng
AND  GROUP_CONTRACT_CONDITION = 'MDSDV'
AND STATUS = 'APPROVED'
AND CONTRACT_ID = : contract_id
Dữ liệu danh mục MDSDV :"
Query 63,"SELECT 
*
FROM
tbl_frck_purpose_use_capital
WHERE
PRODUCT_TYPE = : product_type"
Query 64,"SELECT 
CUSTOMER_ID, CO_CODE
from
STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
where
DATA_STATUS = 'ACTIVE'
and (
STATUS is null
or STATUS not in ('OVERDUE_1', 'OVERDUE_2')
)
and CPS_TSKTDK = 'N'
and LOCKED_KEY is null
and CREATE_PERIOD_STATUS in ('NEW', 'RENEW') GROUP BY CUSTOMER_ID, CO_CODE"
Query 65,SELECT * FROM STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE  WHERE CUSTOMER_ID = :customerId AND CO_CODE = :coCode;
Query 66,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
AND CAREATE_DATE = (
SELECT 
MAX(CAREATE_DATE)
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
);"
Query 67,"SELECT 
*
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
AND STATUS = 'APPROVED'
AND PERRIOD = (
SELECT 
MAX(PERRIOD)
FROM
TBL_PERIOD_EVALUATION
WHERE
GROUP_CONTRACT_CONDITION = 'PERIODIC'
AND CUSTOMER_ID = : customerId
AND CO_CODE = : coCode
AND STATUS = 'APPROVED'
);"
Query 68,
Query 69,"SELECT * FROM TBL_CONTRACT_CONDITION WHERE GROUP_CONTRACT_CONDITION = 'PERIODIC' and STATUS = 'APPROVED' and CONTRACT_ID = :refId  ( refId = contract.REF_ID)
Lấy danh mục tần suât kiểm tra định kỳ tương ứng
cusType = CASE WHEN 'KHCN' = contract.CUSTOMER_CLASS THEN 'PERSONAL' ELSE 'ENTERPRISE' END
SELECT 
*
FROM
tbl_periodic_test_frequency
WHERE
CUSTOMER_TYPE = : custType"
Query 70,"SELECT 
loans_term_ext
FROM
STG_SEAOPS.TBL_BI_DISBURSEMENT_HISTORY
WHERE
CONTRACT_REF = : refID
AND loans_term_ext is not null"
Query 71,"UPDATE dữ liệu 2 trường hợp trên vào bảng TBL_PERIOD_EVALUATION
Đồng thời update bảng STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE :
UPDATE 
STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
SET
cps_tsktdk = 'Y' WHRER CUSTOMER_ID = : customerId
AND CO_CODE = : coCode"
Query 72,"SELECT 
CUSTOMER_ID, CO_CODE
from
STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE
where
DATA_STATUS = 'ACTIVE'
and (
STATUS is null
or STATUS not in ('OVERDUE_1', 'OVERDUE_2')
)
and CPS_TSKTDK = 'N'
and LOCKED_KEY is null
and CREATE_PERIOD_STATUS in ('NEW', 'RENEW') GROUP BY CUSTOMER_ID, CO_CODE"
Query 73,SELECT * FROM STG_SEAOPS.TBL_BI_CONTRACT_REF_DEFINE  WHERE CUSTOMER_ID = :customerId AND CO_CODE = :coCode;
